right_id	airline_name	icao_airline	country	from_city	to_city	max_freq	month
593	МАУ	AUI	Російська Федерація	Київ	Москва	49	2013-09-20
590	МАУ	AUI	Держава Ізраїль	Київ	Тель-Авів	23	2013-09-20
1507	МАУ	AUI	Литовська Республіка	Київ	Каунас	21	2016-08-20
589	МАУ	AUI	Литовська Республіка	Київ	Вільнюс	21	2016-10-20
430	Дніпроавіа	UDN	Російська Федерація	Дніпро	Москва	21	2015-08-20
451	Азур Ейр Україна	UTN	Російська Федерація	Київ	Москва	21	2015-12-20
644	МАУ	AUI	Республіка Білорусь	Київ	Мінськ	21	2016-05-20
607	МАУ	AUI	Чеська Республіка	Київ	Прага	17	2015-08-20
594	МАУ	AUI	Республіка Туреччина	Київ	Стамбул	16	2014-01-20
568	МАУ	AUI	Федеративна Республіка Німеччина	Київ	Берлін	14	2013-12-20
1091	Дніпроавіа	UDN	Республіка Болгарія	Київ	Софія	14	2016-11-20
647	МАУ	AUI	Королівство Швеція	Київ	Стокгольм	14	2013-11-20
556	ЯнЕір ЛТД	ANR	Російська Федерація	Київ	Москва	14	2015-10-20
1547	Азур Ейр Україна	UTN	Об'єднані Арабські Емірати	Київ	Дубай	14	2016-10-20
611	МАУ	AUI	Російська Федерація	Київ	Санкт-Петербург	14	2014-01-20
581	МАУ	AUI	Італійська Республіка	Київ	Мілан	14	2016-08-20
569	МАУ	AUI	Французька Республіка	Київ	Париж	14	2014-01-20
572	МАУ	AUI	Республіка Австрія	Київ	Відень	14	2016-03-20
1079	АТЛАСДЖЕТ УКРАЇНА	UJX	Республіка Туреччина	Харків	Стамбул	14	2017-04-20
586	МАУ	AUI	Грузія	Київ	Тбілісі	14	2013-09-20
702	МАУ	AUI	Грузія	Київ	Батумі	14	2014-05-20
574	МАУ	AUI	Королівство Бельгія	Київ	Брюссель	14	2016-03-20
601	МАУ	AUI	Республіка Польща	Київ	Варшава	14	2015-07-20
585	МАУ	AUI	Об'єднані Арабські Емірати	Київ	Дубай	14	2013-11-20
41	МАУ	AUI	Латвійська Республіка	Київ	Рига	14	2014-05-20
579	МАУ	AUI	Фінляндська Республіка	Київ	Гельсінкі	14	2016-03-20
595	МАУ	AUI	Республіка Туреччина	Одеса	Стамбул	14	2015-07-20
432	Дніпроавіа	UDN	Російська Федерація	Івано-Франківськ	Москва	14	2013-11-20
1067	АТЛАСДЖЕТ УКРАЇНА	UJX	Російська Федерація	Київ	Москва	14	2015-07-20
1894	МАУ	AUI	Італійська Республіка	Київ	Бергамо	14	2017-04-20
605	МАУ	AUI	Республика Вірменія	Київ	Єреван	14	2014-01-20
570	МАУ	AUI	Королівство Великої Британії та Північної Ірландії	Київ	Лондон	14	2013-09-20
571	МАУ	AUI	Королівство Нідерланди	Київ	Амстердам	14	2016-12-20
573	МАУ	AUI	Італійська Республіка	Київ	Рим	14	2016-08-20
599	МАУ	AUI	Республіка Кіпр	Київ	Ларнака	11	2014-01-20
1405	ЯнЕір ЛТД	ANR	Грузія	Київ	Батумі	10	2016-04-20
1024	АТЛАСДЖЕТ УКРАЇНА	UJX	Республіка Туреччина	Запоріжжя	Стамбул	10	2017-04-20
600	МАУ	AUI	Грецька Республіка	Київ	Афіни	10	2014-01-20
575	МАУ	AUI	Королівство Іспанія	Київ	Барселона	9	2016-04-20
1254	Дніпроавіа	UDN	Республіка Хорватія	Львів	Спліт	7	2015-12-20
23	Дніпроавіа	UDN	Російська Федерація	Київ	Москва	7	2013-11-20
1228	ЯнЕір ЛТД	ANR	Румунія	Київ	Бухарест	7	2015-10-20
1234	Мотор Січ	MSI	Республіка Білорусь	Запоріжжя	Мінськ	7	2015-10-20
1237	МАУ	AUI	Хашимітське Королівство Йорданія	Київ	Амман	7	2015-10-20
1677	Дніпроавіа	UDN	Словацька республіка	Київ	Братислава	7	2016-12-20
1231	Дніпроавіа	UDN	Республіка Білорусь	Івано-Франківськ	Мінськ	7	2015-10-20
1233	Дніпроавіа	UDN	Республіка Молдова	Дніпро	Кишинеу	7	2015-10-20
1232	Дніпроавіа	UDN	Республіка Білорусь	Дніпро	Мінськ	7	2015-10-20
1240	ЯнЕір ЛТД	ANR	Республика Вірменія	Одеса	Гюмрі	7	2015-10-20
1245	МАУ	AUI	Республіка Туреччина	Київ	Анкара	7	2015-12-20
1244	МАУ	AUI	Естонія	Київ	Таллінн	7	2015-12-20
1183	Браво	BAY	Федеративна Республіка Німеччина	Київ	Кельн	7	2015-08-20
1082	МАУ	AUI	Республіка Туреччина	Львів	Стамбул	7	2016-11-20
1185	Браво	BAY	Італійська Республіка	Київ	Болонья	7	2015-08-20
1170	Українсько-середземноморські авіалінії	UKM	Данія	Київ	Копенгаген	7	2015-08-20
1172	Українсько-середземноморські авіалінії	UKM	Королівство Швеція	Київ	Стокгольм	7	2015-08-20
1182	Браво	BAY	Федеративна Республіка Німеччина	Київ	Ганновер	7	2015-08-20
1087	Дніпроавіа	UDN	Грузія	Одеса	Батумі	7	2015-07-20
1829	ЯнЕір ЛТД	ANR	Грецька Республіка	Київ	Афіни	7	2017-03-20
1078	АТЛАСДЖЕТ УКРАЇНА	UJX	Республіка Туреччина	Львів	Стамбул	7	2017-04-20
1679	Дніпроавіа	UDN	Республіка Австрія	Львів	Відень	7	2016-12-20
1264	Дніпроавіа	UDN	Республіка Польща	Дніпро	Варшава	7	2016-02-20
1089	Дніпроавіа	UDN	Республіка Польща	Харків	Варшава	7	2015-07-20
1068	АТЛАСДЖЕТ УКРАЇНА	UJX	Російська Федерація	Київ	Санкт-Петербург	7	2015-07-20
1252	Дніпроавіа	UDN	Республіка Болгарія	Львів	Бургас	7	2015-12-20
1169	ЯнЕір ЛТД	ANR	Республіка Молдова	Одеса	Кишинеу	7	2015-10-20
1229	ЯнЕір ЛТД	ANR	Республика Вірменія	Київ	Єреван	7	2015-10-20
1253	Дніпроавіа	UDN	Республіка Албанія	Київ	Тірана	7	2015-12-20
1086	Дніпроавіа	UDN	Грузія	Одеса	Тбілісі	7	2015-07-20
1600	ДАРТ	DAT	Грузія	Львів	Тбілісі	7	2016-10-20
1173	Браво	BAY	Данія	Київ	Копенгаген	7	2015-08-20
1521	МАУ	AUI	Данія	Київ	Копенгаген	7	2016-09-20
1519	Дніпроавіа	UDN	Чеська Республіка	Дніпро	Острава	7	2016-09-20
1510	МАУ	AUI	Республіка Білорусь	Львів	Мінськ	7	2016-08-20
1267	МАУ	AUI	Федеративна Республіка Німеччина	Київ	Дюссельдорф	7	2016-02-20
1184	Браво	BAY	Італійська Республіка	Київ	Неаполь	7	2015-08-20
1255	Дніпроавіа	UDN	Республіка Кіпр	Дніпро	Ларнака	7	2015-12-20
1175	Браво	BAY	Королівство Швеція	Київ	Стокгольм	7	2015-08-20
1599	ДАРТ	DAT	Грузія	Львів	Батумі	7	2016-10-20
1520	МАУ	AUI	Угорська Республіка	Київ	Будапешт	7	2016-09-20
1634	Браво	BAY	Грузія	Одеса	Батумі	7	2016-10-20
1171	Українсько-середземноморські авіалінії	UKM	Республіка Кіпр	Київ	Ларнака	7	2015-08-20
1665	АТЛАСДЖЕТ УКРАЇНА	UJX	Грузія	Київ	Тбілісі	7	2016-11-20
1174	Браво	BAY	Республіка Кіпр	Київ	Ларнака	7	2015-08-20
1635	Браво	BAY	Грузія	Одеса	Тбілісі	7	2016-10-20
1597	ДАРТ	DAT	Грузія	Одеса	Батумі	7	2016-10-20
1164	Дніпроавіа	UDN	Республіка Туреччина	Івано-Франківськ	Стамбул	7	2015-08-20
1601	ДАРТ	DAT	Грузія	Київ	Тбілісі	7	2016-10-20
1632	Браво	BAY	Грузія	Київ	Тбілісі	7	2016-10-20
1602	ДАРТ	DAT	Грузія	Київ	Батумі	7	2016-10-20
1598	ДАРТ	DAT	Грузія	Одеса	Тбілісі	7	2016-10-20
1636	Браво	BAY	Грузія	Одеса	Кутаїсі	7	2016-10-20
1631	Браво	BAY	Грузія	Київ	Батумі	7	2016-10-20
1522	МАУ	AUI	Федеративна Республіка Німеччина	Київ	Гамбург	7	2016-09-20
1667	МАУ	AUI	Республіка Туреччина	Херсон	Стамбул	7	2016-11-20
1662	АТЛАСДЖЕТ УКРАЇНА	UJX	Королівство Великої Британії та Північної Ірландії	Одеса	Лондон	7	2016-11-20
1663	АТЛАСДЖЕТ УКРАЇНА	UJX	Італійська Республіка	Київ	Мілан	7	2016-11-20
38	МАУ	AUI	Італійська Республіка	Київ	Венеція	7	2016-08-20
1263	ЯнЕір ЛТД	ANR	Республіка Кіпр	Київ	Ларнака	7	2016-02-20
1459	Дніпроавіа	UDN	Республіка Болгарія	Одеса	Бургас	7	2016-05-20
587	МАУ	AUI	Республіка Казахстан	Київ	Алмати	7	2013-09-20
1633	Браво	BAY	Грузія	Київ	Кутаїсі	7	2016-10-20
1458	Дніпроавіа	UDN	Грузія	Дніпро	Кутаїсі	7	2016-05-20
1666	АТЛАСДЖЕТ УКРАЇНА	UJX	Об'єднані Арабські Емірати	Одеса	Дубай	7	2016-11-20
1429	ДАРТ	DAT	Республіка Албанія	Київ	Тірана	7	2016-05-20
1487	МАУ	AUI	Румунія	Київ	Бухарест	7	2016-07-20
1498	Дніпроавіа	UDN	Чеська Республіка	Дніпро	Прага	7	2016-07-20
1664	АТЛАСДЖЕТ УКРАЇНА	UJX	Федеративна Республіка Німеччина	Одеса	Дюссельдорф	7	2016-11-20
1508	МАУ	AUI	Держава Ізраїль	Запоріжжя	Тель-Авів	7	2016-08-20
1506	МАУ	AUI	Литовська Республіка	Львів	Вільнюс	7	2016-08-20
1090	Дніпроавіа	UDN	Російська Федерація	Херсон	Москва	7	2015-07-20
1509	МАУ	AUI	Республіка Польща	Львів	Варшава	7	2016-08-20
1181	Браво	BAY	Федеративна Республіка Німеччина	Київ	Штуттгард	7	2015-08-20
1004	Дніпроавіа	UDN	Республіка Австрія	Івано-Франківськ	Відень	7	2014-05-20
597	МАУ	AUI	Держава Ізраїль	Одеса	Тель-Авів	7	2013-12-20
646	МАУ	AUI	Республіка Болгарія	Київ	Софія	7	2013-11-20
431	Дніпроавіа	UDN	Республіка Туреччина	Дніпро	Стамбул	7	2013-09-20
567	МАУ	AUI	Федеративна Республіка Німеччина	Київ	Франкфурт	7	2013-09-20
610	МАУ	AUI	Китайська Народна Республіка	Київ	Пекін	7	2013-09-20
1029	МАУ	AUI	Російська Федерація	Одеса	Москва	7	2015-06-20
1003	Дніпроавіа	UDN	Російська Федерація	Харків	Москва	7	2014-05-20
1020	АТЛАСДЖЕТ УКРАЇНА	UJX	Російська Федерація	Львів	Москва	7	2015-06-20
584	МАУ	AUI	Швейцарія	Київ	Женева	7	2013-09-20
578	МАУ	AUI	Королівство Іспанія	Київ	Мадрид	7	2013-09-20
1011	Дніпроавіа	UDN	Республіка Болгарія	Дніпро	Бургас	7	2014-05-20
1376	ЯнЕір ЛТД	ANR	Латвійська Республіка	Київ	Рига	7	2016-03-20
604	МАУ	AUI	Російська Федерація	Київ	Сочі	7	2013-11-20
1678	Дніпроавіа	UDN	Республіка Словенія	Київ	Любляна	7	2016-12-20
650	Дніпроавіа	UDN	Азербайджанська Республіка	Дніпро	Баку	7	2013-11-20
640	МАУ	AUI	США	Київ	Нью-Йорк	7	2013-11-20
592	МАУ	AUI	Російська Федерація	Київ	Новосибірськ	7	2013-09-20
711	МАУ	AUI	Ісламська Республіка Іран	Київ	Тегеран	7	2015-10-20
710	МАУ	AUI	Королівство Бельгія	Київ	Льєж	7	2014-01-20
602	МАУ	AUI	Російська Федерація	Київ	Калінінград	7	2013-09-20
446	Дніпроавіа	UDN	Грузія	Дніпро	Батумі	7	2015-12-20
470	Азур Ейр Україна	UTN	Королівство Іспанія	Київ	Барселона	7	2015-12-20
606	МАУ	AUI	Азербайджанська Республіка	Київ	Баку	7	2014-01-20
716	МАУ	AUI	Французька Республіка	Київ	Ніцца	7	2014-01-20
1088	Дніпроавіа	UDN	Румунія	Київ	Бухарест	7	2015-07-20
493	Азур Ейр Україна	UTN	Російська Федерація	Львів	Москва	7	2015-12-20
440	Дніпроавіа	UDN	Грузія	Дніпро	Тбілісі	7	2013-09-20
1028	МАУ	AUI	Російська Федерація	Одеса	Санкт-Петербург	7	2015-06-20
642	МАУ	AUI	Королівство Таїланд	Київ	Бангкок	7	2015-10-20
588	МАУ	AUI	Республіка Казахстан	Київ	Астана	7	2013-09-20
1026	МАУ	AUI	Грузія	Київ	Кутаїсі	7	2016-03-20
583	МАУ	AUI	Федеративна Республіка Німеччина	Київ	Мюнхен	7	2013-09-20
563	Мотор Січ	MSI	Російська Федерація	Запоріжжя	Москва	7	2015-07-20
1022	АТЛАСДЖЕТ УКРАЇНА	UJX	Російська Федерація	Одеса	Москва	7	2015-06-20
580	МАУ	AUI	Швейцарія	Київ	Цюрих	7	2013-09-20
1021	АТЛАСДЖЕТ УКРАЇНА	UJX	Королівство Іспанія	Львів	Мадрид	7	2015-06-20
645	МАУ	AUI	Республіка Молдова	Київ	Кишинеу	7	2013-11-20
577	МАУ	AUI	Республіка Австрія	Одеса	Відень	7	2013-09-20
625	ЯнЕір ЛТД	ANR	Грузія	Київ	Тбілісі	7	2013-10-20
1265	Дніпроавіа	UDN	Республіка Болгарія	Харків	Бургас	7	2016-02-20
1168	ЯнЕір ЛТД	ANR	Румунія	Одеса	Бухарест	6	2015-08-20
1251	РОЗА ВІТРІВ	WRC	Республіка Кіпр	Київ	Ларнака	6	2015-12-20
670	МАУ	AUI	Туніська Республіка	Київ	Енфіда	6	2013-12-20
1227	ЯнЕір ЛТД	ANR	Королівство Швеція	Київ	Стокгольм	5	2015-10-20
1226	ЯнЕір ЛТД	ANR	Республіка Сербiя	Київ	Бєлград	5	2015-10-20
1769	Азур Ейр Україна	UTN	Туніська Республіка	Київ	Енфіда	5	2017-03-20
1406	ЯнЕір ЛТД	ANR	Королівство Норвегія	Київ	Осло	5	2016-04-20
1639	Азур Ейр Україна	UTN	Республіка Болгарія	Київ	Софія	5	2016-11-20
1374	ЯнЕір ЛТД	ANR	Королівство Іспанія	Київ	Барселона	5	2016-03-20
1461	ЯнЕір ЛТД	ANR	Грузія	Одеса	Батумі	5	2016-05-20
672	МАУ	AUI	Королівство Іспанія	Київ	Пальма де Мальорка	5	2013-12-20
